1,Four Major Political Parties Forge Alliance for Sindh’s General Elections | News Cafe | 22 Nov 2023,https://abbtakk.tv/en/four-major-political-parties-forge-alliance-for-sindhs-general-elections-news-cafe-22-nov-2023/,"November 22, 2023",
2,"Elections 2024: Record 17,816 candidates vie for national, provincial seats across country",https://abbtakk.tv/en/elections-2024-record-17816-candidates-vie-for-national-provincial-seats-across-country/,"February 8, 2024","ISLAMABAD: Amid a challenging law and order situation in the country, over 128 million people will exercise their right to vote on Thursday (today) with over 17,000 candidates running for the national and provincial assembly seats in the 2024 general elections, The News reported Thursday.
As per the data shared by the Election Commission of Pakistan (ECP), a total of 17,816 candidates are in the run, including 12,695 for provincial assemblies and 5,121 for National Assembly seats.
They include 16,930 males, 882 females and four transgender persons. The political parties have fielded 6,031 candidates, including 5,726 males and 275 females. A record number of 11,785 independents are also in the race, including 11,174 males, 607 females and four transgender persons.
According to the ECP, the political parties have fielded 1,873 male and 93 female candidates for 266 general seats of the National Assembly with 3,248 independents, including 3,027 males, 2,019 females and two transgender persons in the fray.
Similarly, there are 12,695 candidates for 593 provincial assembly constituencies, including 12,123 males, 570 women and two transgender persons.
Women form 46% (59.3 million) and men 54% (69.2 million) of the total registered voters. However, more than 56 million young voters between the age brackets of 18-25 and 26-35 years are being seen as potential factor in shaping the legislatures.
The cliffhanger electoral contest will feature 28.74 million voters in the age group of 36 to 45 years.
Those on the premises of a polling station would be allowed to exercise their right to vote after the time is over. The voters will elect the National Assembly members who will then by majority vote choose the next prime minister.
Likewise, the voters will also elect lawmakers to their respective four provincial assemblies, who will then elect the chief ministers.
Over 260 million ballots — half of them green and half white — have already been printed and delivered to the presiding officers by road and air to over 90,000 polling stations under a security cover provided by the police and other law-enforcement agencies.
Security plan
To ensure the security of voters and polling staff, 648,000 security personnel have been deployed for poll duties, including 137,000 military and 511,000 police personnel. The commission has already issued the election code of conduct.
As many as 90,675 polling stations have been established across the country, out of which more than half have been declared as sensitive or most sensitive.
The army will serve as the third layer of security in Quick Response Force mode; however, two army personnel each will be deployed outside over 18,000 highly sensitive polling stations. Their entry in the polling stations will depend on the requirement of presiding officers.
During the last over five years, for the first time a prime minister had to go home after a no-trust motion. Some prominent politicians, including Imran Khan, Ch Shujaat Hussain, Asfandyar Wali and Shah Mehmood Qureshi, are not contesting owing to different reasons.
Ex-prime minister Nawaz Sharif is back from abroad and is looking for his fourth term as the country’s chief executive.
Speculations are rife that in view of the prevailing political and electoral situation, no political party in the Centre may be able to form the government and hence a coalition setup is being predicted after the elections.
Besides the youth, independents are expected to mainly decide the shape of legislatures.
The Pakistan Tehreek-e-Insaf (PTI) has also fielded its candidates as independents. Their alignment, which according to rules, has to be made within three days after the publication of returned candidates, will be crucial and major political stakeholders will be trying to lure them for support. Of the total 336 members, 169 members can form a simple majority government.
Owing to the death of contesting candidates, election proceedings have already been terminated in four national and provincial assembly constituencies. These are NA-8 Bajaur, PK-22 Bajaur, PK-91 Kohat in Khyber Pakhtunkhwa and PP-266 Rahim Yar Khan, Punjab.
In a related development, the Election Commission has taken notice of continuous running of political advertisements, statements and texts on electronic media and has directed the Pakistan Electronic Media Regulatory Authority (Pemra) to hold all such channels accountable and ensure adherence to Section 182 of the Elections Act 2017 and the commission’s Code of Conduct for National Media.
The commission has reminded Pemra that under Section 182 of the Elections Act, 2017 and the commission’s Code of Conduct for National Media, after 12 midnight on February 6, there is a ban on the election campaign, advertisements and other written material on electronic and print media and strict action should be taken against the channels violating this ban.
Meanwhile, the Election Commission spokesman has said the commission has suspended an officer of the Information Group Pir Suleman Shah Rashdi for violation of the code of conduct and misconduct by issuing a video message for support of a particular political party’s candidates. However, he added the officer will be able to draw his salary, allowances and other benefits during his suspension.
Meanwhile, the Pakistan Telecommunication Authority (PTA) has announced that the internet service would continue uninterrupted countrywide. In a statement, the Authority said there won’t be an internet shutdown on the Election Day.
"
3,Pakistan Election 2024: Can ECP handle tsunami of tech-powered propaganda?,https://abbtakk.tv/en/pakistan-election-2024-can-ecp-handle-tsunami-of-tech-powered-propaganda/,"February 8, 2024","The 2024 polls will differ significantly from previous ones, with over 128 million voters, comprising more than half of the population, and witnessing an additional 42.3 million individuals added to the electoral roll since the 2013 polls.
In the upcoming polls scheduled for February 8, the youth will be a deciding factor, as voters under the age of 35 constitute 44% of the total electorate. Whichever political party can convince this age group stands to win elections easily, because this demographic eats, drinks, and sleeps internet.
In 2018, during the last polls, the country had over 44 million social media users, making the use of new media technology more significant in political communication than ever before.
While the 2013 polls are considered the country’s first social media elections, the 2024 ones are the biggest ever in terms of technology use, with 87.35 million internet users in January 2023.
Moreover, Pakistan is home to 71.70 million social media users, constituting 30% of the total population, bringing about a significant change in political communication.
However, this scenario has its pros, but it also comes with its cons. While technology has boosted campaigning, it has also given rise to serious misgivings as this picture also has a darker side, which harbours active dissemination of disinformation and fake news. Given these real-time concerns, the Election Commission of Pakistan (ECP) has, for the first time, included digital media in its code of conduct for the 2024 polls.
The commission, in its notification, specifically mentions terms like social media influencers, digital media, and verified social media accounts, indicating its readiness for this new challenge.
“During the election campaign, the content floated on print, electronic and digital media, shall not reflect any opinion prejudicial to the ideology, sovereignty, dignity or security of Pakistan, public order or the integrity and independence of the judiciary of Pakistan and other national institutions,” the ECP state in its notification.
Despite the challenges of the new information system, political parties have adapted to new methods, from constituency-wise WhatsApp channels to TikTok jalsas (public meetings), in efforts to woo the younger generation. This has compelled government authorities to come up with new policies and monitoring tools.
The Pakistan Tehreek-e-Insaf (PTI), the party of former prime minister Imran Khan, has been highly innovative in the use of advanced technologies, changing the way campaigning is done in Pakistan.
With the use of artificial intelligence, the launching of a dedicated portal for candidates, and the introduction of a Facebook bot, the PTI has been leading the charge. However, the credit for these creativities could easily be given to a myriad of gags imposed on the party by the state.
In this regard, the Election Commission has updated its policies, incorporating several new topics to cover different aspects of social media. However, some aspects lack clarity, leaving room for manipulation. For instance, the ECP didn’t explain how it would determine “official accounts” on social media, as it is now convenient for anyone to get an account verified on X by making a payment.
Moreover, there’s a need for clarity on social media spending by political parties and candidates, as well as virtual canvassing and campaigning, as per Sections 177 and 182 of the Elections Act, 2017.
Experts have urged the commission to enforce these policies rigorously, as other government bodies are tasked to assist in carrying out its functions. State institutions, such as the Pakistan Electronic Media Regulatory Authority (PEMRA), Pakistan Telecommunication Authority (PTA), Press Information Department (PID) Cyber Wing, and Digital Media Wing of the Ministry of Information and Broadcasting (MoIB), are responsible for monitoring coverage.
Sharing her concerns, AbbTakk Factcheck Editor Benazir Shah said: “I don’t think that the ECP is going to be able to or has the required facilities and the resources to monitor social media”.
Considering the ever-expanding social media landscape riddled with various fast-mutating platforms, Shah pointed out a disruptive change. She said the brands were increasingly flocking to TikTok for their campaigns, making the most of its extensive outreach. She added that as the AI-generated visuals were all the rage these days, social media marketing had never been better.
“I don’t think the ECP has the resources. The last time that I got an estimate from ECP they said they had around 4,000 to 5,000 employees. And not only that, you need a dedicated wing of people who specialise in monitoring social media and who know how to keep a track of it and also be able to do it around the clock.”
Shah highlighted that she hadn’t read anywhere that the ECP had set up any kind of a wing that is dedicated to monitoring the digital media and the election campaigns on it.
“So, until and unless that happens, I think this is just a mere formality that they’re fulfilling.”
Echoing the concerns, Digital Rights Foundation chief Nighat Dad, in an opinion piece for The News, wrote that while the ECP has laid down a framework for campaign expenditures it doesn’t clearly mention whether it applies strictly to physical campaigning. Hence, it can be argued that the broader application of law can cover both offline and online campaign financing.
“Thousands of political ads run on social media during the days leading up to elections in Pakistan, especially on Facebook and YouTube. The regulation of online and social media campaign financing is a relatively new and evolving area, and, unfortunately, the ECP’s policies are silent on accountability around digital political ads,” she stated.
Dad shared that countries like the US have developed measures in this regard and are enforced strictly, adding platforms have their own policies which include background checks and transparency requirements.
“A pressing question is: how much can candidates and their supporters spend on online political campaigns in Pakistan? The lack of explicit regulations by the ECP on online political advertising leaves a significant area of campaign financing unregulated. This gap allows for the potential misuse of online platforms for electioneering without adequate oversight or accountability,” she further added.
"
4,LHC orders to give equal media coverage to all parties including PTI,https://abbtakk.tv/en/lhc-orders-to-give-equal-media-coverage-to-all-parties-including-pti/,"January 31, 2024","Lahore: The Lahore High Court (LHC) on Wednesday ordered to give equal media coverage to all political parties and candidate including Pakistan Tehreek-e-Insaf (PTI).
The LHC single bench Justice Shamshad Mirza issued a written verdict comprising a 10-page of the case on the PTI petition.
The order reads that under the article 17 every citizen has right of independence of expression including it also covered other rights as well.
According to the written verdict an election campaign and publicity to apprise their manifesto is the basic right in the general election.
For free, fair and transparent elections freedom of expression through a free media should be allowed.Without freedom of expression the elections could not be declare free and fair, the order reads.
The founding chairman of PTI Imran Khan has challenged the matter of not be given media coverage by the news channels.
"
5,Territorial integrity and sovereignty would be protected at all costs: Caretaker PM,https://abbtakk.tv/en/territorial-integrity-and-sovereignty-would-be-protected-at-all-costs-caretaker-pm/,"January 26, 2024","Islamabad: Caretaker Prime Minister Anwaar-ul-Haq Kakar has said all the political parties have a level playing field for taking part in the elections, with millions of voters having the opportunity to elect their representatives freely.
In separate interviews with private news channels, he said it is priority of the caretaker government to hold peaceful elections and the Election Commission would be provided every support.
He dismissed the notion of a ban on social media or internet during the elections.
Talking about Pak-India relations, he said Pakistan is a responsible nuclear state, however, it would respond with force if India resorted to any misadventure. He said the only dispute between Pakistan and India is on Kashmir.
The prime minister said that Pakistan is facing a wave of terrorism and the State has the responsibility to protect its unarmed citizens against violent elements.
He asserted that territorial integrity and sovereignty would be protected at all costs.
"
6,Google launches election search trends page in Pakistan,https://abbtakk.tv/en/google-launches-election-search-trends-page-in-pakistan/,"January 16, 2024","Web Desk: Google has set up a Google Trends Pakistan General Election page, a tool that exhibits the top search queries, topics, and interests in parties contesting the elections.
The page included data on the top election-related topics searched in each part of the country, such as the economy, taxes, and wages, among others, said a news release.
All the charts from the Google Trends page are embeddable on any site and will continue to update even after they’re placed on an outlet’s site.
Google clarified that the Google Trends Pakistan General Election page is not a poll or survey and does not reflect voting intentions. It merely reflects people’s search interest in particular topics at a local level over a period of time.
A spike in a particular search query does not reflect that a political party is somehow “more popular” or “winning”.
"
7,Don’t heed to rumors of secretary election commission resignation: Murtaza Solangi,https://abbtakk.tv/en/dont-heed-to-rumors-of-secretary-election-commission-resignation-murtaza-solangi/,"January 7, 2024","Islamabad: Caretaker Information Minister Murtaza Solangi said that don’t heed to rumors regarding the resignation of the secretary election commission.
The Information Minister said that the secretary election commission of Pakistan is actually sick.
افواہوں پر دھیان نہ دیں۔ سکریٹری الیکشن کمیشن واقعی علیل ہیں۔ اللہ سے ان کی مکمل اور جلد صحتیابی کی دعا کرتے ہیں۔الیکشن کمیشن مکمل طور پر فعال ہے اور کسی قسم کا کوئی بحران نہیں ہے۔ pic.twitter.com/e5OBN0RDUG
Murtaza Solangi was responding on the news which stated that the secretary election commission of Pakistan has tendered resignation from his post.
He said that the ECP is completely operational and there is no any crisis.
"
8,ECP refutes news regarding resignation of secretary election Commission,https://abbtakk.tv/en/ecp-refutes-news-regarding-resignation-of-secretary-election-commission/,"January 7, 2024","Islamabad: The spokesman of the Election Commission of Pakistan (ECP) has refuted claims of resignation of the secretary election commission of Pakistan .
The spokesman said that in the absence of the secretary election commission two special secretaries are working.
The secretary election commission is hardworking and intelligent officer, the spokesman added.
He has been ill for past few days while he is on leave on health grounds.
If the secretary election commission health allows he will soon fulfill his responsibilities, the spokesman furthered.
"
9,PPP to form coalition govt in next election: Claims Asif Zardari,https://abbtakk.tv/en/ppp-to-form-coalition-govt-in-next-election-claims-asif-zardari/,"November 24, 2023","Islamabad: Co-chairman Pakistan People’s Party (PPP) Asif Zardari has claimed to make a coalition government in the upcoming general elections.
In an interview to a private news channel, Asif Zardari said that an election alliances made against the PPP in the past adding that the Muttahida Quami Movement -Pakistan (MQM-P) was not with us now this time is as well.
The PPP co-chairman said that it is not neccesory that Pakistan Muslim League-N (PML-N) will lead, more individuals are also exist.
Former president said that his son Bilawal is a talented and but has less in an experience.
He said that the decision of distrust motion against the Pakistan Tehreek-e-Insaf (PTI) premeir Imran Khan was right.
Asif Zardari said that if we were not packed up the PTI chairman from power then he taking the army shoulder and would have held the RO elections and succeed to from government till 2028.
"
10,Erdogan exposes west saying its leaders cannot even call on Israel for ceasefire,https://abbtakk.tv/en/erdogan-exposes-saying-western-leaders-cannot-even-call-on-israel-for-a-ceasefire-let-alone-react-to-it/,"October 29, 2023","ISTANBUL: President Tayyip Erdogan addressed hundreds of thousands of supporters at one of the largest pro-Palestinian rallies since the Israel-Hamas war began, courting his political base a day ahead of the centenary of Turkey’s secular republic.
“Israel has been openly committing war crimes for 22 days, but the Western leaders cannot even call on Israel for a ceasefire, let alone react to it,” Erdogan told the crowd in Istanbul, who waved Palestinian flags.
“We will tell the whole world that Israel is a war criminal. We are making preparations for this. We will declare Israel a war criminal,” he said.
In an hour-long speech, Erdogan also repeated his assertion that Hamas was not a terrorist organisation, describing Israel as an occupier.
Turkey has condemned Israeli civilian deaths caused by Hamas’s October 7 attack on southern Israel, which killed 1,400, but Erdogan this week called the group Palestinian “freedom fighters”.
He also criticised some Western nations’ unconditional support for Israel, drawing sharp rebukes from Italy and Israel.
Unlike many NATO allies, the European Union, and some Gulf states, Turkey does not consider Hamas a “terrorist” organisation. It has long hosted its members, supports a two-state solution, and has offered to play a role in negotiating the release of hostages abducted by Hamas during the October 7 assault.
Political analysts said Erdogan was keen to reinforce his criticism of Israel’s bombardment of the Gaza Strip and to overshadow Sunday’s celebrations marking Turkey’s secular roots.
Sinan Ulgen, a former Turkish diplomat and director of the Centre for Economic and Foreign Policy Studies, an Istanbul-based think-tank, said Gaza’s worsening humanitarian crisis and pressure from political allies had prompted Erdogan to sharpen his rhetoric.
Turkey “will protect its principles and share these with the international community, but it needs to do this with a more delicate diplomacy if it expects to play such a diplomatic role,” Ulgen said.
The heads of allied nationalist and religious parties — which helped Erdogan secure victory in tight May elections — attended the rally at Istanbul’s old airport. Erdogan criticised opposition parties for not calling Netanyahu a “terrorist” and for using the same term with reference to Hamas.
Ataturk legacyErdogan had invited all Turks to attend the rally where he said “only our flag and the Palestine flag will wave”. His AK Party had predicted more than a million people would come.
Modern Turkey’s 100th anniversary comes on Sunday when newspaper headlines could be dominated by news of the Saturday rally rather than celebrations of the republic’s founder, Mustafa Kemal Ataturk, analysts say.
Erdogan, Turkey’s longest-serving leader, and his AK Party have eroded support for the Western-facing ideals of Ataturk. In recent years, Erdogan’s portraits have appeared alongside those of Ataturk on government buildings and schools.
“The symbolism is clear and no one in Turkey is unaware of it — that the pro-Palestinian rally is likely to overshadow celebrations for the centennial of the secular republic,” said Asli Aydintasbas, visiting fellow at the Washington-based Brookings Institution.
She said that while Erdogan’s comments about Hamas reflected Ankara’s long-held position, he aimed to benefit from anti-Israel sentiment domestically and “consolidate Turkey’s Sunni conservatives”.
The government has said the Israel-Hamas conflict will not restrict celebrations of the 100th anniversary, for which it has organised events across the country.
"
